https://cis.scc.virginia.gov/EntitySearch/BusinessInformation?businessId=11762152&source=FromEntityResult&isSeries%20=%20false,11762152,14440 Sommerville LLC,Limited Liability Company,10/25/2024,"8401 MAYLAND DR STE S, Richmond, VA, 23294, USA",23294,Registered Agents Inc.,N/A
https://cis.scc.virginia.gov/EntitySearch/BusinessInformation?businessId=11761939&source=FromEntityResult&isSeries%20=%20false,11761939,"1920 Rip Rap, LLC",Limited Liability Company,10/25/2024,"1204 Glenside Dr, Virginia Beach, VA, 23464, USA",23464,David   Kamer,N/A
https://cis.scc.virginia.gov/EntitySearch/BusinessInformation?businessId=11761938&source=FromEntityResult&isSeries%20=%20false,11761938,"2352 Bizzone, LLC",Limited Liability Company,10/25/2024,"1204 Glenside Dr, Virginia Beach, VA, 23464, USA",23464,David   Kamer,N/A
https://cis.scc.virginia.gov/EntitySearch/BusinessInformation?businessId=11761974&source=FromEntityResult&isSeries%20=%20false,11761974,"31 Oak Glen, LLC",Limited Liability Company,10/25/2024,"100 Oak Glen St, Richmond, VA, 23225 - 6837, USA",23225,G. Wythe  Michael,N/A
https://cis.scc.virginia.gov/EntitySearch/BusinessInformation?businessId=11761895&source=FromEntityResult&isSeries%20=%20false,11761895,5 Starr VA Beach LLC,Limited Liability Company,10/25/2024,"1508 Cedarbluff Dr, Henrico, VA, 23238 - 4804, USA",23238,"Woods Rogers Business Services, LLC",N/A
https://cis.scc.virginia.gov/EntitySearch/BusinessInformation?businessId=11761937&source=FromEntityResult&isSeries%20=%20false,11761937,"635 Creekside, LLC",Limited Liability Company,10/25/2024,"1204 Glenside Dr, Virginia Beach, VA, 23464, USA",23464,David   Kamer,N/A
https://cis.scc.virginia.gov/EntitySearch/BusinessInformation?businessId=11761885&source=FromEntityResult&isSeries%20=%20false,11761885,928 Professional Place LLC,Limited Liability Company,10/25/2024,"928 Professional Pl, Chesapeake, VA, 23320 - 3631, USA",23320,Bray Knicely Law PLLC,N/A
https://cis.scc.virginia.gov/EntitySearch/BusinessInformation?businessId=11762097&source=FromEntityResult&isSeries%20=%20false,11762097,Aligned Animal Rehab and Fitness LLC,Limited Liability Company,10/25/2024,"1401 S Main St, Danville, VA, 24541 - 4083, USA",24541,ZENBUSINESS INC.,N/A
https://cis.scc.virginia.gov/EntitySearch/BusinessInformation?businessId=11762325&source=FromEntityResult&isSeries%20=%20false,11762325,ALLPRO RICHMOND LLC,Limited Liability Company,10/26/2024,"11170 THORNCROFT DR, GLEN ALLEN, VA, 23060, USA",23060,GABRIELA   MENDOZA,N/A
https://cis.scc.virginia.gov/EntitySearch/BusinessInformation?businessId=11761720&source=FromEntityResult&isSeries%20=%20false,11761720,American Journey Financial Life,Reserved Name,N/A,,,United Transportation Union Insurance Association,N/A
